title;price;url_listing;posting_date;kelurahan;kabupaten_kota
Puma Smash v2 L White Size 43 New Original;450000;https://olx.co.id/item/puma-smash-v2-l-white-size-43-new-original-iid-925436751;2024-08-31 00:00:00;Sumur Bandung;Bandung Kota
Puma size EUR 36, 22,5 CM , bahan suede mix kulit;650000;https://olx.co.id/item/puma-size-eur-36-225-cm-bahan-suede-mix-kulit-iid-912482290;2024-08-31 00:00:00;Jagakarsa;Jakarta Selatan
Sepatu Putih Puma;200000;https://olx.co.id/item/sepatu-putih-puma-iid-923517532;2024-08-31 00:00:00;Bogor Barat - Kota;Bogor Kota
Sepatu Puma Baru,Size 43;1000000;https://olx.co.id/item/sepatu-puma-barusize-43-iid-918777041;2024-08-31 00:00:00;Pulo Gadung;Jakarta Timur
Sepatu puma baru sekali pakai unisex;999999;https://olx.co.id/item/sepatu-puma-baru-sekali-pakai-unisex-iid-924033510;2024-08-31 00:00:00;Pesanggrahan;Jakarta Selatan
Puma x Ferrari Shoes;1100000;https://olx.co.id/item/puma-x-ferrari-shoes-iid-922794780;2024-08-31 00:00:00;Sawangan;Depok Kota
Puma low full black;285000;https://olx.co.id/item/puma-low-full-black-iid-925426804;2024-08-31 00:00:00;Kiaracondong;Bandung Kota
Sepatu puma suede 43 ori;600000;https://olx.co.id/item/sepatu-puma-suede-43-ori-iid-922554184;2024-08-31 00:00:00;Jagakarsa;Jakarta Selatan
PUMA SHOES VIKKY RIBBON, PUMA BLACK RUNNING;320000;https://olx.co.id/item/puma-shoes-vikky-ribbon-puma-black-running-iid-885448238;2024-08-31 00:00:00;Cikarang Utara;Bekasi Kab.
Puma Rebound Joy Low Trainers;600000;https://olx.co.id/item/puma-rebound-joy-low-trainers-iid-925421081;2024-08-31 00:00:00;Banyumanik;Semarang Kota
Puma Mayze Stack Cord Wns Sneaker;1000000;https://olx.co.id/item/puma-mayze-stack-cord-wns-sneaker-iid-922361692;2024-08-31 00:00:00;Kenjeran;Surabaya Kota
Sepatu basket puma clyde all pro melo us11 vnds;1200000;https://olx.co.id/item/sepatu-basket-puma-clyde-all-pro-melo-us11-vnds-iid-922747184;2024-08-31 00:00:00;Cipondoh;Tangerang Kota
Sepatu PUMA BASKET PLATFORM SCALLOP;212000;https://olx.co.id/item/sepatu-puma-basket-platform-scallop-iid-922801010;2024-08-30 00:00:00;Kemuning;Palembang Kota
Adidas Munchen dan puma;250000;https://olx.co.id/item/adidas-munchen-dan-puma-iid-925413503;2024-08-30 00:00:00;Pasar Kemis;Tangerang Kab.
Sepatu puma tr22 soft foam original;700000;https://olx.co.id/item/sepatu-puma-tr22-soft-foam-original-iid-818736137;2024-08-29 00:00:00;Buahbatu (Margacinta);Bandung Kota
Sneakers Puma Caven;650000;https://olx.co.id/item/sneakers-puma-caven-iid-916685799;2024-08-29 00:00:00;Ciputat Timur;Tangerang Selatan Kota
Puma mens size 42.5;450000;https://olx.co.id/item/puma-mens-size-425-iid-923794242;2024-08-29 00:00:00;Tebet;Jakarta Selatan
